,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,20%,0%,25%,0%,25%,20%,0%,25%,0%,0%,,,,,,,,,,,SPY,,,,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estrategia,%,,,Max # Posiciones,Max %  por posición,,,,,,,,,,
Date,Smart DCA Acciones,Smart DCA Defensivo,Smart Global 60/40,Satellite Synergy,AllWeather FLEX,AllWeather Leverage,Oso Perezoso,Fuerza 6,Rotacion Defensiva D4,AllWeather TAA,NDX Core 9,BuyHold SPY,BuyHold 60/40,,,Date,Estrategia,BuyHold SPY,BuyHold 60/40,$$ MaxT1,$$ MinT1,$$ Draw Down T1,% Draw Down ,$$ MaxT1,$$ MinT1,$$ Draw Down T1,% Draw Down ,$$ MaxT1,$$ MinT1,$$ Draw Down T1,% Draw Down ,,Date,Estrategia,S&P500,60/40,,,,,,,,,,,,,,,,,,,,,Smart_DCA_Acciones,0%,,,,,,,,,,,,,,
1/3/2007,"$99,215.87 ","$98,776.20 ","$99,040.85 ","$99,860.00 ","$98,525.09 ","$98,841.04 ","$100,000.00 ","$98,290.65 ","$100,000.00 ","$97,977.35 ","$99,202.74 ","$99,378.72 ","$100,000.00 ",,,1/3/2007,"$114,055.61 ","$99,378.72 ","$100,000.00 "," 114,056 "," 114,056 ", -   ,0.0%," 99,379 "," 99,379 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,1/3/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,Smart_DCA_Defensivo,0%,,,,,,,,,,,,,,
1/4/2007,"$98,377.82 ","$98,582.97 ","$98,461.34 ","$99,933.26 ","$97,419.90 ","$97,927.95 ","$100,000.00 ","$97,184.28 ","$100,000.00 ","$96,597.61 ","$100,860.19 ","$99,590.52 ","$100,000.00 ",,,1/4/2007,"$113,979.76 ","$99,590.52 ","$100,000.00 "," 114,056 "," 113,980 ", (76),-0.1%," 99,591 "," 99,591 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,1/4/2007,-0.1%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,Smart_Global 60/40,0%,,,,,,,,,,,,,,
1/5/2007,"$96,176.78 ","$97,197.59 ","$96,588.04 ","$99,650.02 ","$95,642.39 ","$96,346.10 ","$100,000.00 ","$96,168.37 ","$100,000.00 ","$95,061.69 ","$100,347.74 ","$98,792.74 ","$100,000.00 ",,,1/5/2007,"$113,145.56 ","$98,792.74 ","$100,000.00 "," 114,056 "," 113,146 ", (910),-0.8%," 99,591 "," 98,793 ", (798),-0.8%," 100,000 "," 100,000 ", -   ,0.0%,,1/5/2007,-0.8%,-0.8%,0.0%,,,,,,,,,,,,,,,,,,,,,Satellite Synergy,20%,,,,,,,,,,,,,,
1/8/2007,"$96,594.58 ","$97,527.55 ","$96,970.40 ","$99,756.38 ","$96,119.21 ","$96,600.48 ","$100,000.00 ","$96,479.73 ","$100,000.00 ","$95,457.86 ","$100,191.96 ","$99,251.64 ","$100,000.00 ",,,1/8/2007,"$113,269.32 ","$99,251.64 ","$100,000.00 "," 114,056 "," 113,269 ", (786),-0.7%," 99,591 "," 99,252 ", (339),-0.3%," 100,000 "," 100,000 ", -   ,0.0%,,1/8/2007,-0.7%,-0.3%,0.0%,,,,,,,,,,,,,,,,,,,,,AllWeather_FLEX,0%,,,,,,,,,,,,,,
1/9/2007,"$95,558.56 ","$97,820.22 ","$96,466.19 ","$99,747.32 ","$95,190.58 ","$96,155.15 ","$100,000.00 ","$96,403.52 ","$100,000.00 ","$94,658.53 ","$101,383.11 ","$99,166.92 ","$100,000.00 ",,,1/9/2007,"$113,434.91 ","$99,166.92 ","$100,000.00 "," 114,056 "," 113,435 ", (621),-0.5%," 99,591 "," 99,167 ", (424),-0.4%," 100,000 "," 100,000 ", -   ,0.0%,,1/9/2007,-0.5%,-0.4%,0.0%,,,,,,,,,,,,,,,,,,,,,AllWeather_Leverage,25%,,,,,,,,,,,,,,
1/10/2007,"$95,074.21 ","$97,388.56 ","$96,003.18 ","$99,824.70 ","$94,495.47 ","$95,519.66 ","$100,000.00 ","$95,878.93 ","$100,000.00 ","$93,841.00 ","$102,381.16 ","$99,498.74 ","$100,000.00 ",,,1/10/2007,"$113,409.88 ","$99,498.74 ","$100,000.00 "," 114,056 "," 113,410 ", (646),-0.6%," 99,591 "," 99,499 ", (92),-0.1%," 100,000 "," 100,000 ", -   ,0.0%,,1/10/2007,-0.6%,-0.1%,0.0%,,,,,,,,,,,,,,,,,,,,,OsoPerezoso,0%,,,4,0.0%,,,,,,,,,,
1/11/2007,"$95,986.62 ","$97,126.40 ","$96,445.38 ","$99,918.70 ","$95,020.57 ","$95,813.68 ","$100,000.00 ","$96,110.55 ","$100,000.00 ","$94,084.67 ","$103,235.57 ","$99,936.46 ","$100,000.00 ",,,1/11/2007,"$113,773.69 ","$99,936.46 ","$100,000.00 "," 114,056 "," 113,774 ", (282),-0.2%," 99,936 "," 99,936 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,1/11/2007,-0.2%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,Fuerza_SEIS_F6,25%,,,1-4,6.3% - 25.0%,,,,,,,,,,
1/12/2007,"$97,520.37 ","$98,112.89 ","$97,759.00 ","$100,066.18 ","$96,873.12 ","$97,221.81 ","$100,000.00 ","$97,861.22 ","$100,000.00 ","$96,329.02 ","$103,462.01 ","$100,698.94 ","$100,000.00 ",,,1/12/2007,"$114,649.50 ","$100,698.94 ","$100,000.00 "," 114,649 "," 114,649 ", -   ,0.0%," 100,699 "," 100,699 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,1/12/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,RotacionDefensiva-D4,20%,,,1,20.0%,,,,,,,,,,
1/16/2007,"$97,633.79 ","$98,062.04 ","$97,806.73 ","$99,860.11 ","$96,668.72 ","$97,069.51 ","$100,000.00 ","$96,973.15 ","$100,000.00 ","$96,016.26 ","$104,374.78 ","$100,501.26 ","$100,000.00 ",,,1/16/2007,"$114,576.38 ","$100,501.26 ","$100,000.00 "," 114,649 "," 114,576 ", (73),-0.1%," 100,699 "," 100,501 ", (198),-0.2%," 100,000 "," 100,000 ", -   ,0.0%,,1/16/2007,-0.1%,-0.2%,0.0%,,,,,,,,,,,,,,,,,,,,,AllWeather TAA,0%,,,3,0.0%,,,,,,,,,,
1/17/2007,"$97,455.68 ","$98,439.46 ","$97,850.65 ","$99,852.52 ","$96,965.52 ","$97,461.43 ","$100,000.00 ","$97,621.14 ","$100,000.00 ","$96,579.06 ","$103,514.65 ","$100,543.62 ","$100,000.00 ",,,1/17/2007,"$114,619.81 ","$100,543.62 ","$100,000.00 "," 114,649 "," 114,620 ", (30),0.0%," 100,699 "," 100,544 ", (155),-0.2%," 100,000 "," 100,000 ", -   ,0.0%,,1/17/2007,0.0%,-0.2%,0.0%,,,,,,,,,,,,,,,,,,,,,NDX_Core9,25%,,,9,2.8%,,,,,,,,,,
1/18/2007,"$96,769.52 ","$98,291.43 ","$97,380.18 ","$99,791.59 ","$96,327.68 ","$96,915.91 ","$100,000.00 ","$96,915.32 ","$100,000.00 ","$95,802.54 ","$100,413.80 ","$100,204.74 ","$100,000.00 ",,,1/18/2007,"$113,519.58 ","$100,204.74 ","$100,000.00 "," 114,649 "," 113,520 "," (1,130)",-1.0%," 100,699 "," 100,205 ", (494),-0.5%," 100,000 "," 100,000 ", -   ,0.0%,,1/18/2007,-1.0%,-0.5%,0.0%,,,,,,,,,,,,,,,,,,,,,BuyHold SPY,0%,,,1,0.0%,,,,,,,,,,
1/19/2007,"$98,246.13 ","$98,741.17 ","$98,445.17 ","$99,820.20 ","$98,041.75 ","$98,261.32 ","$100,000.00 ","$97,896.69 ","$100,000.00 ","$97,629.29 ","$100,377.51 ","$100,402.42 ","$100,000.00 ",,,1/19/2007,"$114,097.92 ","$100,402.42 ","$100,000.00 "," 114,649 "," 114,098 ", (552),-0.5%," 100,699 "," 100,402 ", (297),-0.3%," 100,000 "," 100,000 ", -   ,0.0%,,1/19/2007,-0.5%,-0.3%,0.0%,,,,,,,,,,,,,,,,,,,,,BuyHold 60-40 AOR,0%,,,1,0.0%,,,,,,,,,,
1/22/2007,"$97,936.98 ","$98,638.34 ","$98,218.76 ","$99,781.97 ","$97,678.46 ","$97,910.65 ","$100,000.00 ","$97,643.53 ","$100,000.00 ","$97,222.38 ","$99,237.28 ","$100,091.78 ","$100,000.00 ",,,1/22/2007,"$113,654.26 ","$100,091.78 ","$100,000.00 "," 114,649 "," 113,654 ", (995),-0.9%," 100,699 "," 100,092 ", (607),-0.6%," 100,000 "," 100,000 ", -   ,0.0%,,1/22/2007,-0.9%,-0.6%,0.0%,,,,,,,,,,,,,,,,,,,,,Total,115%,,,,,,,,,,,,,,
1/23/2007,"$99,499.00 ","$99,505.05 ","$99,501.41 ","$99,920.12 ","$99,619.49 ","$99,625.36 ","$100,000.00 ","$99,523.98 ","$100,000.00 ","$99,592.39 ","$98,464.77 ","$100,388.30 ","$100,000.00 ",,,1/23/2007,"$114,387.55 ","$100,388.30 ","$100,000.00 "," 114,649 "," 114,388 ", (262),-0.2%," 100,699 "," 100,388 ", (311),-0.3%," 100,000 "," 100,000 ", -   ,0.0%,,1/23/2007,-0.2%,-0.3%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2007,"$100,263.36 ","$99,578.50 ","$99,989.07 ","$100,081.84 ","$100,225.56 ","$100,113.53 ","$100,000.00 ","$99,601.73 ","$100,000.00 ","$100,078.09 ","$100,372.81 ","$101,200.20 ","$100,000.00 ",,,1/24/2007,"$115,038.39 ","$101,200.20 ","$100,000.00 "," 115,038 "," 115,038 ", -   ,0.0%," 101,200 "," 101,200 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,1/24/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2007,"$97,878.05 ","$99,008.98 ","$98,331.14 ","$99,748.22 ","$98,160.17 ","$98,651.02 ","$100,000.00 ","$98,795.48 ","$100,000.00 ","$98,221.01 ","$99,365.42 ","$100,007.06 ","$100,000.00 ",,,1/25/2007,"$114,152.62 ","$100,007.06 ","$100,000.00 "," 115,038 "," 114,153 ", (886),-0.8%," 101,200 "," 100,007 "," (1,193)",-1.2%," 100,000 "," 100,000 ", -   ,0.0%,,1/25/2007,-0.8%,-1.2%,0.0%,,,,,,,,,,,,,,,,,,,,,Retorno Total,1453%,,,,,,,,,,,,,,
1/26/2007,"$98,275.06 ","$99,056.44 ","$98,588.12 ","$99,733.89 ","$98,520.32 ","$98,843.53 ","$100,000.00 ","$99,225.36 ","$100,000.00 ","$98,559.29 ","$99,447.13 ","$99,915.28 ","$100,000.00 ",,,1/26/2007,"$114,325.78 ","$99,915.28 ","$100,000.00 "," 115,038 "," 114,326 ", (713),-0.6%," 101,200 "," 99,915 "," (1,285)",-1.3%," 100,000 "," 100,000 ", -   ,0.0%,,1/26/2007,-0.6%,-1.3%,0.0%,,,,,,,,,,,,,,,,,,,,,Caída Max,-17%,,,,,,,,,,,,,,
1/29/2007,"$97,674.12 ","$98,632.69 ","$98,058.50 ","$99,667.90 ","$97,897.82 ","$98,446.27 ","$100,000.00 ","$98,370.79 ","$100,000.00 ","$97,752.95 ","$99,619.76 ","$99,858.80 ","$100,000.00 ",,,1/29/2007,"$114,042.79 ","$99,858.80 ","$100,000.00 "," 115,038 "," 114,043 ", (996),-0.9%," 101,200 "," 99,859 "," (1,341)",-1.3%," 100,000 "," 100,000 ", -   ,0.0%,,1/29/2007,-0.9%,-1.3%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,S&P500,,,,ETF 60-40 (AOR),,,,ETF AllWeather (ALLW),,,
1/30/2007,"$98,771.13 ","$99,045.14 ","$98,881.06 ","$99,876.59 ","$99,082.98 ","$99,479.71 ","$100,000.00 ","$99,667.75 ","$100,000.00 ","$99,146.73 ","$99,729.67 ","$100,381.24 ","$100,000.00 ",,,1/30/2007,"$114,694.60 ","$100,381.24 ","$100,000.00 "," 115,038 "," 114,695 ", (344),-0.3%," 101,200 "," 100,381 ", (819),-0.8%," 100,000 "," 100,000 ", -   ,0.0%,,1/30/2007,-0.3%,-0.8%,0.0%,,,,,,,,,,,,,,,,,,,,,Ano,Retorno,Caída Max,,YEAR,TOTAL,MaxDD,,YEAR,TOTAL,MaxDD,,YEAR,TOTAL,MaxDD,
1/31/2007,"$99,346.65 ","$99,940.10 ","$99,583.88 ","$100,112.18 ","$99,781.99 ","$100,088.92 ","$100,239.72 ","$100,572.33 ","$100,000.00 ","$99,934.44 ","$100,428.48 ","$101,059.00 ","$100,000.00 ",,,1/31/2007,"$115,294.87 ","$101,059.00 ","$100,000.00 "," 115,295 "," 115,295 ", -   ,0.0%," 101,200 "," 101,059 ", (141),-0.1%," 100,000 "," 100,000 ", -   ,0.0%,,1/31/2007,0.0%,-0.1%,0.0%,,,,,,,,,,,,,,,,,,,,,2007,40%,-6%,,2007,5%,-10%,,2007,0%,0%,,2007,12%,-1%,
2/1/2007,"$100,381.29 ","$100,189.43 ","$100,303.84 ","$100,520.76 ","$100,587.21 ","$100,868.76 ","$100,239.72 ","$100,850.16 ","$100,000.00 ","$100,516.13 ","$100,967.88 ","$101,666.16 ","$100,000.00 ",,,2/1/2007,"$115,775.85 ","$101,666.16 ","$100,000.00 "," 115,776 "," 115,776 ", -   ,0.0%," 101,666 "," 101,666 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,2/1/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,2008,-8%,-12%,,2008,-37%,-48%,,2008,-2%,-17%,,2008,-2%,-14%,
2/2/2007,"$100,126.04 ","$99,508.04 ","$99,878.61 ","$100,478.01 ","$100,499.35 ","$100,903.16 ","$100,239.72 ","$100,817.80 ","$100,000.00 ","$99,918.90 ","$100,666.47 ","$101,807.36 ","$100,000.00 ",,,2/2/2007,"$115,692.46 ","$101,807.36 ","$100,000.00 "," 115,776 "," 115,692 ", (83),-0.1%," 101,807 "," 101,807 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,2/2/2007,-0.1%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,2009,24%,-12%,,2009,26%,-27%,,2009,19%,-17%,,2009,5%,-8%,
2/5/2007,"$100,010.43 ","$99,599.57 ","$99,845.87 ","$100,552.71 ","$100,484.82 ","$101,080.05 ","$100,239.72 ","$100,765.42 ","$100,000.00 ","$99,966.72 ","$101,048.31 ","$101,835.60 ","$100,000.00 ",,,2/5/2007,"$115,833.99 ","$101,835.60 ","$100,000.00 "," 115,834 "," 115,834 ", -   ,0.0%," 101,836 "," 101,836 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,2/5/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,2010,16%,-10%,,2010,15%,-16%,,2010,11%,-9%,,2010,13%,-3%,
2/6/2007,"$100,904.17 ","$100,250.45 ","$100,641.93 ","$100,804.01 ","$101,037.30 ","$101,552.25 ","$100,239.72 ","$100,858.03 ","$100,000.00 ","$100,551.42 ","$100,473.50 ","$101,863.84 ","$100,000.00 ",,,2/6/2007,"$115,881.75 ","$101,863.84 ","$100,000.00 "," 115,882 "," 115,882 ", -   ,0.0%," 101,864 "," 101,864 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,2/6/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,2011,18%,-8%,,2011,2%,-19%,,2011,1%,-13%,,2011,15%,-2%,
2/7/2007,"$100,850.74 ","$100,270.79 ","$100,618.12 ","$100,761.75 ","$101,029.44 ","$101,651.47 ","$100,239.72 ","$100,491.86 ","$100,000.00 ","$100,336.15 ","$101,325.27 ","$102,089.76 ","$100,000.00 ",,,2/7/2007,"$116,019.50 ","$102,089.76 ","$100,000.00 "," 116,020 "," 116,020 ", -   ,0.0%," 102,090 "," 102,090 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,2/7/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,2012,10%,-7%,,2012,16%,-10%,,2012,11%,-6%,,2012,7%,-2%,
2/8/2007,"$100,375.20 ","$101,014.33 ","$100,630.04 ","$100,671.90 ","$100,841.86 ","$101,472.74 ","$100,239.72 ","$101,664.03 ","$100,000.00 ","$100,624.76 ","$101,776.46 ","$101,955.62 ","$100,000.00 ",,,2/8/2007,"$116,362.69 ","$101,955.62 ","$100,000.00 "," 116,363 "," 116,363 ", -   ,0.0%," 102,090 "," 101,956 ", (134),-0.1%," 100,000 "," 100,000 ", -   ,0.0%,,2/8/2007,0.0%,-0.1%,0.0%,,,,,,,,,,,,,,,,,,,,,2013,27%,-6%,,2013,32%,-6%,,2013,16%,-6%,,2013,1%,-5%,
2/9/2007,"$99,553.90 ","$101,206.43 ","$100,214.20 ","$100,257.72 ","$100,020.34 ","$101,064.48 ","$100,239.72 ","$101,925.30 ","$100,000.00 ","$100,539.38 ","$99,938.17 ","$101,193.14 ","$100,000.00 ",,,2/9/2007,"$115,783.53 ","$101,193.14 ","$100,000.00 "," 116,363 "," 115,784 ", (579),-0.5%," 102,090 "," 101,193 ", (897),-0.9%," 100,000 "," 100,000 ", -   ,0.0%,,2/9/2007,-0.5%,-0.9%,0.0%,,,,,,,,,,,,,,,,,,,,,2014,13%,-7%,,2014,14%,-7%,,2014,6%,-5%,,2014,13%,-2%,
2/12/2007,"$99,015.26 ","$100,737.48 ","$99,703.83 ","$99,938.83 ","$99,595.51 ","$100,704.54 ","$100,239.72 ","$100,943.52 ","$100,000.00 ","$100,075.25 ","$99,648.93 ","$100,847.20 ","$100,000.00 ",,,2/12/2007,"$115,312.01 ","$100,847.20 ","$100,000.00 "," 116,363 "," 115,312 "," (1,051)",-0.9%," 102,090 "," 100,847 "," (1,243)",-1.2%," 100,000 "," 100,000 ", -   ,0.0%,,2/12/2007,-0.9%,-1.2%,0.0%,,,,,,,,,,,,,,,,,,,,,2015,-4%,-12%,,2015,1%,-12%,,2015,-1%,-9%,,2015,-4%,-7%,
2/13/2007,"$100,449.76 ","$100,764.60 ","$100,574.76 ","$100,610.85 ","$100,662.22 ","$101,626.60 ","$100,239.72 ","$101,916.52 ","$100,000.00 ","$100,688.64 ","$100,019.55 ","$101,701.46 ","$100,000.00 ",,,2/13/2007,"$116,012.84 ","$101,701.46 ","$100,000.00 "," 116,363 "," 116,013 ", (350),-0.3%," 102,090 "," 101,701 ", (388),-0.4%," 100,000 "," 100,000 ", -   ,0.0%,,2/13/2007,-0.3%,-0.4%,0.0%,,,,,,,,,,,,,,,,,,,,,2016,1%,-16%,,2016,12%,-10%,,2016,7%,-6%,,2016,6%,-7%,
2/14/2007,"$102,229.16 ","$101,652.78 ","$101,996.76 ","$101,349.11 ","$101,863.20 ","$102,617.99 ","$100,239.72 ","$101,975.87 ","$100,000.00 ","$101,689.63 ","$101,845.32 ","$102,372.16 ","$100,000.00 ",,,2/14/2007,"$116,879.62 ","$102,372.16 ","$100,000.00 "," 116,880 "," 116,880 ", -   ,0.0%," 102,372 "," 102,372 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,2/14/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,2017,34%,-9%,,2017,22%,-3%,,2017,16%,-1%,,2017,11%,-1%,
2/15/2007,"$102,321.13 ","$101,831.32 ","$102,123.31 ","$101,409.51 ","$101,927.98 ","$102,501.70 ","$100,239.72 ","$102,004.06 ","$100,000.00 ","$101,731.08 ","$102,282.85 ","$102,506.30 ","$100,000.00 ",,,2/15/2007,"$116,979.05 ","$102,506.30 ","$100,000.00 "," 116,979 "," 116,979 ", -   ,0.0%," 102,506 "," 102,506 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,2/15/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,2018,1%,-13%,,2018,-5%,-19%,,2018,-6%,-12%,,2018,-3%,-5%,
2/16/2007,"$102,418.66 ","$101,966.92 ","$102,236.04 ","$101,511.46 ","$101,958.46 ","$102,569.11 ","$100,239.72 ","$102,570.93 ","$100,000.00 ","$101,783.30 ","$102,189.78 ","$102,456.88 ","$100,000.00 ",,,2/16/2007,"$117,134.75 ","$102,456.88 ","$100,000.00 "," 117,135 "," 117,135 ", -   ,0.0%," 102,506 "," 102,457 ", (49),0.0%," 100,000 "," 100,000 ", -   ,0.0%,,2/16/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,2019,11%,-12%,,2019,31%,-7%,,2019,19%,-3%,,2019,19%,-1%,
2/20/2007,"$102,629.15 ","$101,249.37 ","$102,075.65 ","$101,579.21 ","$102,172.34 ","$102,750.88 ","$100,239.72 ","$101,753.37 ","$100,000.00 ","$101,320.16 ","$103,098.09 ","$102,675.74 ","$100,000.00 ",,,2/20/2007,"$117,216.43 ","$102,675.74 ","$100,000.00 "," 117,216 "," 117,216 ", -   ,0.0%," 102,676 "," 102,676 ", -   ,0.0%," 100,000 "," 100,000 ", -   ,0.0%,,2/20/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,2020,28%,-17%,,2020,18%,-34%,,2020,11%,-23%,,2020,15%,-4%,
2/21/2007,"$102,516.12 ","$102,778.26 ","$102,618.58 ","$101,771.49 ","$102,070.66 ","$102,610.28 ","$100,239.72 ","$103,547.79 ","$100,000.00 ","$102,497.09 ","$103,562.37 ","$102,633.38 ","$100,000.00 ",,,2/21/2007,"$117,784.41 ","$102,633.38 ","$100,000.00 "," 117,784 "," 117,784 ", -   ,0.0%," 102,676 "," 102,633 ", (42),0.0%," 100,000 "," 100,000 ", -   ,0.0%,,2/21/2007,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,2021,17%,-8%,,2021,29%,-5%,,2021,11%,-3%,,2021,8%,-4%,
2/22/2007,"$102,616.90 ","$102,348.86 ","$102,507.36 ","$101,747.45 ","$102,219.46 ","$102,662.51 ","$100,239.72 ","$103,891.58 ","$100,000.00 ","$102,304.39 ","$103,864.45 ","$102,555.72 ","$100,000.00 ",,,2/22/2007,"$117,954.13 ","$102,555.72 ","$100,000.00 "," 117,954 "," 117,954 ", -   ,0.0%," 102,676 "," 102,556 ", (120),-0.1%," 100,000 "," 100,000 ", -   ,0.0%,,2/22/2007,0.0%,-0.1%,0.0%,,,,,,,,,,,,,,,,,,,,,2022,-7%,-12%,,2022,-18%,-25%,,2022,-16%,-22%,,2022,-18%,-21%,
2/23/2007,"$102,409.13 ","$103,155.68 ","$102,705.32 ","$101,492.37 ","$101,977.29 ","$102,739.41 ","$100,239.72 ","$104,297.54 ","$100,000.00 ","$102,357.43 ","$103,820.22 ","$102,153.30 ","$100,000.00 ",,,2/23/2007,"$118,012.77 ","$102,153.30 ","$100,000.00 "," 118,013 "," 118,013 ", -   ,0.0%," 102,676 "," 102,153 ", (522),-0.5%," 100,000 "," 100,000 ", -   ,0.0%,,2/23/2007,0.0%,-0.5%,0.0%,,,,,,,,,,,,,,,,,,,,,2023,13%,-9%,,2023,26%,-10%,,2023,16%,-8%,,2023,10%,-3%,
2/26/2007,"$102,414.56 ","$103,789.61 ","$102,962.00 ","$101,557.08 ","$101,922.82 ","$103,223.99 ","$100,239.72 ","$104,547.69 ","$100,000.00 ","$102,543.14 ","$103,170.15 ","$102,061.52 ","$100,000.00 ",,,2/26/2007,"$118,046.87 ","$102,061.52 ","$100,000.00 "," 118,047 "," 118,047 ", -   ,0.0%," 102,676 "," 102,062 ", (614),-0.6%," 100,000 "," 100,000 ", -   ,0.0%,,2/26/2007,0.0%,-0.6%,0.0%,,,,,,,,,,,,,,,,,,,,,2024,23%,-11%,,2024,25%,-8%,,2024,11%,-4%,,2024,7%,-3%,
2/27/2007,"$96,133.83 ","$102,300.27 ","$98,601.43 ","$98,132.98 ","$97,114.50 ","$99,137.68 ","$100,239.72 ","$101,206.49 ","$100,000.00 ","$98,346.46 ","$99,287.18 ","$98,058.50 ","$100,000.00 ",,,2/27/2007,"$114,534.43 ","$98,058.50 ","$100,000.00 "," 118,047 "," 114,534 "," (3,512)",-3.0%," 102,676 "," 98,059 "," (4,617)",-4.5%," 100,000 "," 100,000 ", -   ,0.0%,,2/27/2007,-3.0%,-4.5%,0.0%,,,,,,,,,,,,,,,,,,,,,2025,24%,-11%,,2025,18%,-19%,,2025,16%,-10%,,2025,15%,-9%,
2/28/2007,"$97,668.37 ","$102,914.99 ","$99,766.97 ","$99,119.84 ","$98,337.06 ","$100,157.63 ","$98,477.65 ","$102,546.36 ","$100,000.00 ","$99,696.05 ","$99,865.43 ","$99,068.08 ","$100,000.00 ",,,2/28/2007,"$115,466.32 ","$99,068.08 ","$100,000.00 "," 118,047 "," 115,466 "," (2,581)",-2.2%," 102,676 "," 99,068 "," (3,608)",-3.5%," 100,000 "," 100,000 ", -   ,0.0%,,2/28/2007,-2.2%,-3.5%,0.0%,,,,,,,,,,,,,,,,,,,,,2026,21%,-11%,,2026,10%,-9%,,2026,8%,-7%,,2026,8%,-7%,
3/1/2007,"$96,455.22 ","$102,360.72 ","$98,818.10 ","$98,343.42 ","$97,407.05 ","$99,678.80 ","$98,477.65 ","$101,859.66 ","$100,000.00 ","$98,885.54 ","$99,606.26 ","$98,771.56 ","$100,000.00 ",,,3/1/2007,"$114,954.86 ","$98,771.56 ","$100,000.00 "," 118,047 "," 114,955 "," (3,092)",-2.6%," 102,676 "," 98,772 "," (3,904)",-3.8%," 100,000 "," 100,000 ", -   ,0.0%,,3/1/2007,-2.6%,-3.8%,0.0%,,,,,,,,,,,,,,,,,,,,,Retorno Promedio,15%,-11%,,,12%,-15%,,,8%,-9%,,,7%,-5%,
3/2/2007,"$95,338.67 ","$100,945.96 ","$97,583.51 ","$97,496.56 ","$95,698.94 ","$98,649.62 ","$98,477.65 ","$99,961.81 ","$100,000.00 ","$97,479.66 ","$96,813.05 ","$97,472.52 ","$100,000.00 ",,,3/2/2007,"$113,355.43 ","$97,472.52 ","$100,000.00 "," 118,047 "," 113,355 "," (4,691)",-4.0%," 102,676 "," 97,473 "," (5,203)",-5.1%," 100,000 "," 100,000 ", -   ,0.0%,,3/2/2007,-4.0%,-5.1%,0.0%,,,,,,,,,,,,,,,,,,,,,Caida Max,,-17%,,,,-55%,,,,-25%,,,,-20%,
3/5/2007,"$93,105.18 ","$100,413.73 ","$96,031.69 ","$96,674.11 ","$93,831.31 ","$97,310.77 ","$98,477.65 ","$98,669.83 ","$100,000.00 ","$96,262.53 ","$95,681.56 ","$96,540.60 ","$100,000.00 ",,,3/5/2007,"$112,250.36 ","$96,540.60 ","$100,000.00 "," 118,047 "," 112,250 "," (5,797)",-4.9%," 102,676 "," 96,541 "," (6,135)",-6.0%," 100,000 "," 100,000 ", -   ,0.0%,,3/5/2007,-4.9%,-6.0%,0.0%,,,,,,,,,,,,,,,,,,,,,Ret. Prom / Caida Max, 0.9 ,,,, 0.2 ,,,, 0.3 ,,,, 0.3 ,,
